iter	RMSE
744	0.1424600481
745	0.142454376
746	0.1424484724
747	0.142442478
748	0.1424368593
749	0.1424329328
750	0.1424245491
751	0.1424179614
752	0.1424121439
753	0.1424084185
754	0.1424015888
755	0.1423988159
756	0.1423966662
757	0.1423926589
758	0.1423859688
759	0.1423801967
760	0.1423781811
761	0.1423756941
762	0.1423726674
763	0.1423700576
764	0.1423671766
765	0.14236246
766	0.1423559995
767	0.1423526314
768	0.1423464599
769	0.1423431457
770	0.142333516
771	0.1423275245
772	0.1423212927
773	0.1423187818
774	0.142316742
775	0.1423128018
776	0.142307229
777	0.1423046857
778	0.1422944934
779	0.1422933861
780	0.1422883838
781	0.1422786788
782	0.142274643
783	0.1422701987
784	0.14226555
785	0.1422615912
786	0.1422579071
787	0.1422527624
788	0.142249431
789	0.1422424453
790	0.1422318667
791	0.1422302478
792	0.1422231264
793	0.1422199696
794	0.142216907
795	0.1422148491
796	0.1422091554
797	0.1422056363
798	0.1422001724
799	0.1421953253
